Cell Line,Factor,Lab,Treatment,Antibody,Data Version,Quality,Table Name,Control
GM12878,ELK1,Stanford,None,ELK1+AF8-(1277+AC0-1),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhGm12878Elk112771IggmusUniPk,IgG+AC0-mus
HeLa+AC0-S3,ELK1,Stanford,None,ELK1+AF8-(1277+AC0-1),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhHelas3Elk112771IggrabUniPk,IgG+AC0-rab
HeLa+AC0-S3,ELK4,USC,None,ELK4,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhHelas3Elk4UcdUniPk,UCDavis
GM12878,EP300,Stanford,None,p300,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhGm12878P300IggmusUniPk,IgG+AC0-mus
GM12878,EP300,HudsonAlpha,None,p300,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibGm12878P300Pcr1xUniPk,NA
H1+AC0-hESC,EP300,HudsonAlpha,None,p300,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibH1hescP300V0416102UniPk,NA
HeLa+AC0-S3,EP300,Stanford,None,p300+AF8-(SC+AC0-584),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhHelas3P300sc584sc584IggrabUniPk,IgG+AC0-rab
HepG2,EP300,HudsonAlpha,None,p300,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibHepg2P300V0416101UniPk,NA
K562,EP300,Stanford,None,p300,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhK562P300IggrabUniPk,IgG+AC0-rab
SK+AC0-N+AC0-SH (Retinoic Acid),EP300,HudsonAlpha,None,p300,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibSknshraP300V0416102UniPk,NA
GM12878,ETS1,HudsonAlpha,None,ETS1,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibGm12878Ets1Pcr1xUniPk,NA
K562,ETS1,HudsonAlpha,None,ETS1,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibK562Ets1V0416101UniPk,NA
GM12878,EZH2,Broad,None,EZH2+AF8-(39875),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsBroadGm12878Ezh239875UniPk,std
H1+AC0-hESC,EZH2,Broad,None,EZH2+AF8-(39875),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsBroadH1hescEzh239875UniPk,std
