TF.CellLine.Antibody.Lab.renamed,Cell Line,Factor,Lab,Treatment,Antibody,Data Version,Quality,Table Name,Control,TF.CellLine.Antibody.Lab,DeepBind.star,DeepBind,MEME.SUM,MEME.M1
CTCF_Gliobla_CTCF_UT_A,Gliobla,CTCF,UT+AC0-A,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUtaGlioblaCtcfUniPk,NA,CTCF_Gliobla_CTCF_UT-A,0.994308,0.993223,0.934268,0.963676
CTCF_H1_hESC_CTCF_(SC_5916)_HudsonAlpha,H1+AC0-hESC,CTCF,HudsonAlpha,None,CTCF+AF8-(SC+AC0-5916),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibH1hescCtcfsc5916V0416102UniPk,NA,CTCF_H1-hESC_CTCF_(SC-5916)_HudsonAlpha,0.991103,0.985723,0.961592,0.965752
CTCF_H1_hESC_CTCF_Broad,H1+AC0-hESC,CTCF,Broad,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsBroadH1hescCtcfUniPk,std,CTCF_H1-hESC_CTCF_Broad,0.997948,0.991644,0.887244,0.954972
CTCF_H1_hESC_CTCF_UT_A,H1+AC0-hESC,CTCF,UT+AC0-A,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUtaH1hescCtcfUniPk,NA,CTCF_H1-hESC_CTCF_UT-A,0.993858,0.994498,0.947612,0.972432
CTCF_HA_sp_CTCF_UW,HA+AC0-sp,CTCF,UW,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUwHaspCtcfUniPk,std,CTCF_HA-sp_CTCF_UW,0.99892,0.997284,0.94978,0.980624
CTCF_HAc_CTCF_UW,HAc,CTCF,UW,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUwHacCtcfUniPk,std,CTCF_HAc_CTCF_UW,0.997548,0.993154,0.969964,0.976444
CTCF_HBMEC_CTCF_UW,HBMEC,CTCF,UW,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUwHbmecCtcfUniPk,std,CTCF_HBMEC_CTCF_UW,0.999105,0.995484,0.933972,0.972312
CTCF_HCFaa_CTCF_UW,HCFaa,CTCF,UW,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUwHcfaaCtcfUniPk,std,CTCF_HCFaa_CTCF_UW,0.996999,0.994125,0.969608,0.963784
CTCF_HCM_CTCF_UW,HCM,CTCF,UW,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUwHcmCtcfUniPk,std,CTCF_HCM_CTCF_UW,0.99503,0.989174,0.962436,0.97038
CTCF_HCPEpiC_CTCF_UW,HCPEpiC,CTCF,UW,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUwHcpeCtcfUniPk,std,CTCF_HCPEpiC_CTCF_UW,0.997936,0.993587,0.913948,0.96074
