,CNN-based model adadelta,CNN-based model adam,CNN-based model rmsprop,vConv-based model adadelta,vConv-based model adam,vConv-based model rmsprop
89,0.6450071667462972,0.6041178235313727,0.5973621929132547,0.6661740686007622,0.6149512772364136,0.4944610495672175
90,0.7072411915687952,0.577273080812009,0.5657840642673808,0.6759075100834455,0.6254402826698074,0.5420949121656907
91,0.6914632384804276,0.5214946832742586,0.5198391093234369,0.7190302114467939,0.6942410471227458,0.6805075611951245
92,0.6396071067456305,0.5903510039000434,0.5969510772341915,0.6042400471116345,0.5378393093256592,0.6121068011866798
93,0.6605628951432794,0.6676518627984755,0.6357403971155235,0.6390293225480284,0.665718507983422,0.6425626951410571
94,0.4920388004311159,0.6432515916843521,0.5236835964844053,0.6547183857598418,0.585495394393271,0.6002400026666964
95,0.637507083412038,0.5794508827875866,0.473605262280692,0.6868076311959023,0.6944410493449927,0.6654851720574673
96,0.574139712663474,0.4921943577150858,0.5060834009266769,0.7043522705807843,0.5790731008122313,0.6042733808153423
97,0.5421949132768142,0.4919387993199925,0.6554517272414138,0.6090956566184068,0.5458616206846743,0.6747297192191025
98,0.6800742230469228,0.4768275203057812,0.5163335148168313,0.6536628184757609,0.6488183202035578,0.5908621206902299
99,0.6066400737785975,0.6182735363726264,0.5122390248780543,0.6984299825553617,0.6151957243969377,0.637062634029267
100,0.5966288514316826,0.5619173546372738,0.4881609795664396,0.6226846964966277,0.5783175368615207,0.614106823409149
101,0.6642184913165702,0.5619840220446894,0.5826842520472449,0.6766408515650174,0.6124179157546195,0.5629729219213547
102,0.53966155179502,0.6046956077289747,0.533072589695441,0.7065745174946387,0.6240736008177868,0.6440404893387704
103,0.6402293358815098,0.6044456049511662,0.4657885087612084,0.6598295536617073,0.5573728596984411,0.6256069511883465
104,0.6289292103245592,0.5990399893332148,0.5888176535294837,0.7418971321903576,0.6025622506916744,0.6073956377293082
105,0.5482283136479293,0.5522283580928677,0.479549772775253,0.6419960221780242,0.6679740886009844,0.607595639951555
106,0.6786630962566251,0.6406182290914343,0.5806620073556372,0.6864409604551162,0.5831842576028623,0.6376959743997155
